feature,importance_mean,importance_std
make_model_BMW_X1,0.0,0.0
make_model_BMW_X3,0.0,0.0
make_model_CHEVROLET_COBALT,0.0,0.0
make_model_Dodge_Neon,0.0,0.0
make_model_Ford_F-150,0.0,0.0
make_model_Honda_Accord,0.0,0.0
make_model_Honda_Civic,0.0,0.0
make_model_Jeep_Grand Cherokee,0.0,0.0
make_model_Jeep_Wrangler Sahara,0.0,0.0
make_model_Mercedes-Benz_S-Class,0.0,0.0
make_model_Nissan_Rogue,0.0,0.0
make_model_Subaru_Forester,0.0,0.0
make_model_Subaru_Outback,0.0,0.0
make_model_Toyota_Camry,0.0,0.0
make_model_Toyota_Venza,0.0,0.0
make_model_other,95.65806451612916,13.12974714705821
color_Gray,0.0,0.0
color_Silver,0.0,0.0
color_beige,0.0,0.0
color_black,-84.01451612903202,60.80769837003708
color_blue,200.64516129032273,164.38514709939184
color_brown,112.9032258064517,0.0
color_cream,0.0,0.0
color_custom,0.0,0.0
color_gray,74.81612903225815,149.6322580645163
color_green,0.0,0.0
color_grey,150.96774193548407,76.15636469432312
color_maroon,0.0,0.0
color_purple,0.0,0.0
color_red,75.8225806451619,50.98382759639372
color_silver,0.0,0.0
color_white,-158.06451612903203,99.3422698375815
color_yellow,0.0,0.0
condition_excellent,20.248387096774604,65.83798706752046
condition_fair,3.7935483870973257,12.547708746902389
condition_good,34.78064516129071,109.68785083220165
condition_like_new,626.7516129032263,284.0088124997592
condition_new,0.0,0.0
condition_salvage,0.0,0.0
transmission_automatic,4.354838709677461,8.709677419354922
transmission_manual,0.0,0.0
fuel_diesel,0.0,0.0
fuel_electric,0.0,0.0
fuel_gas,0.0,0.0
fuel_gasoline,0.0,0.0
fuel_hybrid,0.0,0.0
fuel_natural gas,0.0,0.0
fuel_other,0.0,0.0
city_Ansonia,0.0,0.0
city_Berlin,0.0,0.0
city_Bethany,0.0,0.0
city_Branford,73.96129032258105,80.5257416459971
city_Bridgeport,-191.19999999999965,112.8690268942278
city_Bronx,-53.54838709677388,46.816860406420396
city_Cheshire,0.0,0.0
city_Clinton,0.0,0.0
city_Danbury,0.0,0.0
city_Deep River,0.0,0.0
city_Derby,0.0,0.0
city_East Granby,-14.232258064515918,7.116129032257959
city_East Haven,0.0,0.0
city_Ellington,0.0,0.0
city_Fairfield,0.0,0.0
city_Guilford,0.0,0.0
city_Hamden,0.0,0.0
city_Hudson,0.0,0.0
city_Killingworth,0.0,0.0
city_Lake Crystal,0.0,0.0
city_Madison,0.0,0.0
city_Manchester,0.0,0.0
city_Meriden,15.354838709677825,9.711252685420396
city_Middlebury,0.0,0.0
city_Milford,47.41935483870984,76.29287999532643
city_Nashua,0.0,0.0
city_Naugatuck,0.0,0.0
city_New Haven,-1.0451612903223577,8.885854956854532
city_New Milford,0.0,0.0
city_North Branford,0.0,0.0
city_North Haven,223.85483870967764,26.539801849411656
city_Norwalk,0.0,0.0
city_Oakville,0.0,0.0
city_Old Saybrook,37.096774193548484,74.19354838709697
city_Orange,0.0,0.0
city_Oxford,0.0,0.0
city_Patterson,0.0,0.0
city_Poughkeepsie,0.0,0.0
city_Shelton,544.9258064516134,727.3867717901079
city_Southbury,0.0,0.0
city_Stamford,18.664516129032563,6.262073873626089
city_Stratford,0.0,0.0
city_Trumbull,0.0,0.0
city_Upper Saddle River,0.0,0.0
city_Wallingford,107.09677419354884,184.59562916258702
city_Waterbury,0.0,0.0
city_West Hartford,0.0,0.0
city_West Haven,-5.016129032257959,28.542937332938944
city_West Springfield,0.0,0.0
city_Wolcott,0.0,0.0
state_CT,0.0,0.0
state_MA,0.0,0.0
state_MN,0.0,0.0
state_NH,0.0,0.0
state_NJ,0.0,0.0
state_NY,0.0,0.0
age,1376.079032258065,319.124925686774
mileage_num,2651.6774193548385,861.017485404156
