feature,importance_mean,importance_std
make_model_Audi_Q3,0.0,0.0
make_model_CHEVROLET_COBALT,0.0,0.0
make_model_Cadillac_ATS-4 AWD Sport Sedan,0.0,0.0
make_model_Dodge_Neon,0.0,0.0
make_model_Ford_F-350,0.0,0.0
make_model_Honda_Civic LX,0.0,0.0
make_model_Jeep_Grand Cherokee,0.0,0.0
make_model_Land Rover_Range Rover Sport,0.0,0.0
make_model_Nissan_Rogue,0.0,0.0
make_model_Subaru_Crosstrek,0.0,0.0
make_model_Subaru_Forester,0.0,0.0
make_model_Subaru_Outback,0.0,0.0
make_model_Toyota_Camry,0.0,0.0
make_model_Toyota_Venza,0.0,0.0
make_model_Volkswagen_Jetta Sedan,0.0,0.0
make_model_other,0.0,0.0
color_Gray,0.0,0.0
color_Silver,0.0,0.0
color_Tan,0.0,0.0
color_beige,0.0,0.0
color_black,0.0,0.0
color_blue,0.0,0.0
color_brown,0.0,0.0
color_burgundy,0.0,0.0
color_cream,0.0,0.0
color_custom,0.0,0.0
color_gold,0.0,0.0
color_gray,0.0,0.0
color_green,0.0,0.0
color_grey,0.0,0.0
color_maroon,0.0,0.0
color_maroon/silver,0.0,0.0
color_purple,0.0,0.0
color_red,0.0,0.0
color_silver,0.0,0.0
color_white,0.0,0.0
color_yellow,0.0,0.0
condition_excellent,0.0,0.0
condition_fair,0.0,0.0
condition_good,0.0,0.0
condition_like_new,0.0,0.0
condition_new,0.0,0.0
condition_salvage,0.0,0.0
transmission_automatic,0.0,0.0
transmission_manual,0.0,0.0
fuel_CNG,0.0,0.0
fuel_diesel,0.0,0.0
fuel_electric,0.0,0.0
fuel_gas,0.0,0.0
fuel_gasoline,0.0,0.0
fuel_hybrid,0.0,0.0
fuel_natural gas,0.0,0.0
fuel_other,0.0,0.0
city_Ansonia,0.0,0.0
city_Berlin,0.0,0.0
city_Bethany,0.0,0.0
city_Branford,0.0,0.0
city_Bridgeport,0.0,0.0
city_Bronx,0.0,0.0
city_Cheshire,0.0,0.0
city_Clinton,0.0,0.0
city_Danbury,0.0,0.0
city_Deep River,0.0,0.0
city_Derby,0.0,0.0
city_East Granby,0.0,0.0
city_Ellington,0.0,0.0
city_Fairfield,0.0,0.0
city_Guilford,0.0,0.0
city_Hamden,0.0,0.0
city_Hudson,0.0,0.0
city_Killingworth,0.0,0.0
city_Lake Crystal,0.0,0.0
city_Madison,0.0,0.0
city_Manchester,0.0,0.0
city_Meriden,0.0,0.0
city_Middlebury,0.0,0.0
city_Milford,0.0,0.0
city_Nashua,0.0,0.0
city_Naugatuck,0.0,0.0
city_New Haven,0.0,0.0
city_New Milford,0.0,0.0
city_Newtown,0.0,0.0
city_North Branford,0.0,0.0
city_North Haven,0.0,0.0
city_Norwalk,0.0,0.0
city_Oakville,0.0,0.0
city_Old Saybrook,0.0,0.0
city_Orange,0.0,0.0
city_Oxford,0.0,0.0
city_Patterson,0.0,0.0
city_Poughkeepsie,0.0,0.0
city_Shelton,0.0,0.0
city_Southbury,0.0,0.0
city_Stamford,0.0,0.0
city_Stratford,0.0,0.0
city_Trumbull,0.0,0.0
city_Upper Saddle River,0.0,0.0
city_Wallingford,0.0,0.0
city_Waterbury,0.0,0.0
city_West Hartford,0.0,0.0
city_West Haven,0.0,0.0
city_West Springfield,0.0,0.0
city_Wolcott,0.0,0.0
state_CT,0.0,0.0
state_MA,0.0,0.0
state_MN,0.0,0.0
state_NH,0.0,0.0
state_NJ,0.0,0.0
state_NY,0.0,0.0
make_model_AMC_Rambler Classic,0.0,0.0
make_model_Acura_3.5RL,0.0,0.0
make_model_Acura_MDX,0.0,0.0
make_model_Acura_TL,0.0,0.0
make_model_Acura_Tlx,0.0,0.0
make_model_Audi_A3,0.0,0.0
make_model_Audi_A4,0.0,0.0
make_model_Audi_A6 Premium Plus,0.0,0.0
make_model_Audi_A7,0.0,0.0
make_model_Audi_Q3,0.0,0.0
make_model_Audi_Q5,0.0,0.0
make_model_Audi_Q5 Premium,0.0,0.0
make_model_Audi_S4,0.0,0.0
make_model_BMW_3 Series,0.0,0.0
make_model_BMW_3 Series 330i xDrive,0.0,0.0
make_model_BMW_325i,0.0,0.0
make_model_BMW_328i X-drive AWD Sedan,0.0,0.0
make_model_BMW_328i Xdrive Sedan,0.0,0.0
make_model_BMW_5 Series,0.0,0.0
make_model_BMW_530I,0.0,0.0
make_model_BMW_650xi Gran Coupe,0.0,0.0
make_model_BMW_X1,0.0,0.0
make_model_BMW_X2,0.0,0.0
make_model_BMW_X3,0.0,0.0
make_model_BMW_X3 2.8i X-drive SUV,0.0,0.0
make_model_BMW_X5,0.0,0.0
make_model_BMW_X7,0.0,0.0
make_model_BMW_Z3 Roadster,0.0,0.0
make_model_Buick_Lacrosse CXL,0.0,0.0
make_model_Buick_regal custom coupe,0.0,0.0
