feature,importance_mean,importance_std
make_model_BMW_X2,0.0,0.0
make_model_CHEVROLET_COBALT,0.0,0.0
make_model_Dodge_Neon,0.0,0.0
make_model_Honda_CR-V EX,0.0,0.0
make_model_Honda_Civic LX,0.0,0.0
make_model_Jeep_Grand Cherokee,0.0,0.0
make_model_Jeep_Wrangler Sahara,0.0,0.0
make_model_Nissan_Altima,0.0,0.0
make_model_Nissan_Rogue,0.0,0.0
make_model_Subaru_Crosstrek,0.0,0.0
make_model_Subaru_Forester,0.0,0.0
make_model_Subaru_Outback,6.270230237145052,4.765189256908885
make_model_Toyota_Camry,0.0,0.0
make_model_Toyota_Venza,0.0,0.0
make_model_other,3.7802754956935134,11.063384191558901
make_model_volkswagen_tiguan,0.0,0.0
color_Gray,0.0,0.0
color_Silver,0.0,0.0
color_Tan,0.0,0.0
color_beige,49.40286011098842,2.511852521883793
color_black,54.612642158702194,0.7549595566338951
color_blue,-2.5735628482025277,24.959002910035576
color_brown,0.0,0.0
color_burgundy,0.0,0.0
color_cream,0.0,0.0
color_custom,20.596748394175258,39.36553212043806
color_gold,0.0,0.0
color_gray,0.0,0.0
color_green,0.0,0.0
color_grey,0.0,0.0
color_maroon,0.0,0.0
color_maroon/silver,0.0,0.0
color_purple,0.0,0.0
color_red,0.0,0.0
color_silver,-9.673754440407901,34.39843291510218
color_white,28.437292571134503,35.08179232326803
color_yellow,0.0,0.0
condition_excellent,214.98019484461483,101.39771634364783
condition_fair,871.2885943398287,222.8020763413047
condition_good,66.16047067296704,12.982728924397044
condition_like_new,0.0,0.0
condition_new,0.0,0.0
condition_salvage,0.0,0.0
transmission_automatic,46.77095702936295,39.17714133999741
transmission_manual,-41.34870587078926,64.44416524377822
fuel_CNG,0.0,0.0
fuel_diesel,-44.55169709414349,5.1632224184666375
fuel_electric,0.0,0.0
fuel_gas,-162.08411971703816,40.131437594527135
fuel_gasoline,8.048367522212175,0.0
fuel_hybrid,0.0,0.0
fuel_natural gas,0.0,0.0
fuel_other,0.0,0.0
city_Ansonia,0.0,0.0
city_Berlin,0.0,0.0
city_Bethany,0.0,0.0
city_Branford,0.0,0.0
city_Bridgeport,0.0,0.0
city_Bronx,0.0,0.0
city_Cheshire,0.0,0.0
city_Clinton,0.0,0.0
city_Danbury,0.0,0.0
city_Deep River,0.0,0.0
city_Derby,0.0,0.0
city_East Granby,14.564274296760368,4.7207836686690925
city_Ellington,0.0,0.0
city_Fairfield,0.0,0.0
city_Guilford,0.0,0.0
city_Hamden,0.0,0.0
city_Hudson,79.6757283068589,0.0
city_Killingworth,0.0,0.0
