feature,importance,std
mileage_num,690.1147460937507,445.108794843592
make_model_Subaru_Forester,0.0,0.0
make_model_Nissan_Rogue,0.0,0.0
make_model_Toyota_Camry,0.0,0.0
make_model_infrequent_sklearn,0.0,0.0
color_MISSING,0.0,0.0
make_model_Subaru_Outback,0.0,0.0
color_blue,0.0,0.0
color_brown,0.0,0.0
color_gray,0.0,0.0
color_green,0.0,0.0
color_grey,0.0,0.0
color_red,0.0,0.0
color_silver,0.0,0.0
color_black,0.0,0.0
color_white,0.0,0.0
color_infrequent_sklearn,0.0,0.0
condition_excellent,0.0,0.0
condition_MISSING,0.0,0.0
condition_good,0.0,0.0
condition_like_new,0.0,0.0
condition_salvage,0.0,0.0
condition_fair,0.0,0.0
transmission_MISSING,0.0,0.0
transmission_automatic,0.0,0.0
transmission_manual,0.0,0.0
fuel_diesel,0.0,0.0
fuel_electric,0.0,0.0
fuel_gas,0.0,0.0
fuel_hybrid,0.0,0.0
condition_infrequent_sklearn,0.0,0.0
city_Bethany,0.0,0.0
city_Branford,0.0,0.0
city_Bridgeport,0.0,0.0
city_Bronx,0.0,0.0
city_East Granby,0.0,0.0
city_Hamden,0.0,0.0
city_Hudson,0.0,0.0
city_Meriden,0.0,0.0
city_Milford,0.0,0.0
city_New Haven,0.0,0.0
city_North Branford,0.0,0.0
city_North Haven,0.0,0.0
city_Norwalk,0.0,0.0
city_Old Saybrook,0.0,0.0
city_Shelton,0.0,0.0
fuel_infrequent_sklearn,0.0,0.0
city_Stamford,0.0,0.0
city_Stratford,0.0,0.0
city_Waterbury,0.0,0.0
city_Wallingford,0.0,0.0
city_infrequent_sklearn,0.0,0.0
state_CT,0.0,0.0
state_NH,0.0,0.0
city_West Haven,0.0,0.0
state_infrequent_sklearn,0.0,0.0
zipcode_10475.0,0.0,0.0
zipcode_3051.0,0.0,0.0
zipcode_6026.0,0.0,0.0
zipcode_6405.0,0.0,0.0
zipcode_6450.0,0.0,0.0
zipcode_6460.0,0.0,0.0
state_NY,0.0,0.0
zipcode_6471.0,0.0,0.0
zipcode_6473.0,0.0,0.0
zipcode_6484.0,0.0,0.0
zipcode_6475.0,0.0,0.0
zipcode_6510.0,0.0,0.0
zipcode_6514.0,0.0,0.0
zipcode_6516.0,0.0,0.0
zipcode_6492.0,0.0,0.0
zipcode_6524.0,0.0,0.0
zipcode_6606.0,0.0,0.0
zipcode_6702.0,0.0,0.0
zipcode_6614.0,0.0,0.0
zipcode_6850.0,0.0,0.0
zipcode_6902.0,0.0,0.0
zipcode_infrequent_sklearn,0.0,0.0
age,-77.04985795454486,347.3703221611969
